strategy,metric,n,mean,std,median,min,max,q1,q3,iqr,cv
keyword,num_results,100,4.15,1.6353111093129726,5.0,1.0,5.0,5.0,5.0,0.0,0.3940508697139693
semantic,num_results,100,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0
hybrid,num_results,100,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0
keyword,retrieval_time,100,0.011094884872436523,0.0027322125460243706,0.01147162914276123,0.0055692195892333984,0.029366016387939453,0.010457038879394531,0.012296438217163086,0.0018393993377685547,0.24625875594366176
semantic,retrieval_time,100,0.09568235158920288,0.6401761170551734,0.029574990272521973,0.02148723602294922,6.432423830032349,0.027476072311401367,0.03355306386947632,0.006076991558074951,6.690639458817534
hybrid,retrieval_time,100,0.038126864433288575,0.011116966945281062,0.03541851043701172,0.028930187225341797,0.13619208335876465,0.033601224422454834,0.04092222452163696,0.007321000099182129,0.29157831651046645
