strategy,k,num_queries,precision@5,recall@5,f1@5,mrr,ndcg@5,latency_ms
keyword,5,100,0.21799999999999983,0.45344444444444454,0.2638662448662447,0.46950000000000025,0.42173015038219785,4.4689130783081055
semantic,5,100,0.24999999999999975,0.5096587301587302,0.30053119103119075,0.6306666666666667,0.5202037789351295,68.8538384437561
hybrid,5,100,0.2459999999999998,0.5072619047619048,0.2967923742923741,0.5335000000000001,0.468490502727368,21.169564723968506
